Startup,URL,Business Description,"Funding 
Round","Total 
funding (US$)",Opportunity Space,,Founded,Country
Kratos innovation labs,https://kratosinnovationlabs.com/,"Kratos Innovation Labs provides smart contract solutions across industries. Their first product, x-DeFraud detects and prevents fraud by storing all the supporting documents in a trading cycle on a distributed ledger system (Blockchain). With pre-defined algorithms, all the documents flowing in the distributed ledger are x-rayed by x-DeFraud system to prevent fraud. The company is targeting to solve problems in Trade Finance transactions which often involve manual paper (and unstructured electronic) transfers of records (purchase orders, invoices, bills of lading, customs documentation, certificates of authenticity and makeup) that accompany physical goods",Seed,"156,100",End-to-end supply chain transparency,,2016,Singapore
Portbase,https://www.portbase.com/,"Portbase is an online information exchange and service platform fo ports. It is connected with all smart ports of Netherlands and provides services for containers, piece goods, bulk dry and wet bulk. Its features include export cargo handling including - notification for arrival of containers, alert export documentation etc. , barge planning, bonded warehouse alerts, transit declaration etc.",Undisclosed,,Automated port infrastructure,,2009,Netherlands
Trusted Docks,https://www.trusteddocks.com/,"Trusted Docks is an online platform that connects ship owners with shipyards for maintenance & repair, intermediate survey docking or scrapping project. Users can find a shipyard in their current or prospective trading area of vessel. They can use the embedded SeaRoutes application for determining the deviation between the position of vessel and a selected shipyard. Platform allows users to compare shipyards on details such as dock facilities, workmanship experience, recent projects and ratings. Platform offers premium accounts for shipyards that enable them to contact shipowners and send tenders well in advance to the planned docking.",Undisclosed,,Port configuration and planning,,2015,Germany
Marine Traffic,https://www.marinetraffic.com/,"MarineTraffic provides an AIS based ship tracking online software and data. Customers can use the online software for locating and tracking vessels, search ports and get arrival and departure schedules of ships. Additional features include speed and draught profiles for vessels, lay up view, port congestion, underway speed and fleet utilization. The software is also available as mobile applications for iPhone, Windows and Android devices. Pricing depends on different plans starting at 12.50 Dollars a month.",Undisclosed,,End-to-end supply chain transparency,,2007,England
Navtor,https://www.navtor.com/,"Navtor develops and provide latest e-navigation technology to maritime sector to simplify tasks, increase efficiency and improve operations to make life easier and safer and more efficient for navigators and shipowners. They provide e-Navigation solutions, Digital charts, Paper charts and Weather & Weather Routing. In e-Navigation solutions they provide hardware and software to give navigators an intuitive interface to plan optimal vessel routes.",Undisclosed,,Retrofitting existing vessels with green tech,,2011,Norway
Imagenz,https://imagenz.net/,"Imagenz offers Intenet of things enabled solutions for multi-industry applications. The solution consists of sensors and beacons that monitor parameters such as location, temperature, vibration, shock, stock replenishment etc. The company also provides a companion ML-based analytics dashboard that processes the above-mentioned data, in real-time, for providing actionable insights to the user. Applications are in the areas of asset tracking, inventory management, product package distribution testing, and customer/staff engagement. The target industries include retail, hospitality, logistics, and manufacturing. less",Undisclosed,,End-to-end supply chain transparency,,2017,Singapore
AiDock,https://www.aidock.net/,"AiDock brings the actual revolution to this industry, by providing the first fully automated customs clearance process. Starting from understanding the document type, extracting the data and finally classifying the H.S. code of each product. By using cutting edge technologies like deep learning and our own unique algorithms (patent pending) we can handle the entire process from getting the pre-alert to providing the H.S. classifications in less than a minute.",Undisclosed,,Port bottleneck optimisation,,2017,Israel
Bolero,http://www.bolero.net/home/electronic-bills-lading/,"Bolero’s eBL is a powerful combination of a legal framework and technology which replicates the core elements of a traditional paper bill of lading, namely its functions as a receipt, evidence of the contract of carriage and as a document of title. Bolero has partnered with fintech consortium R3 to redesign its electronic bill of lading (eBL) service using blockchain technology.",Undisclosed,,Paperwork simplification/reduction,,1998,England
ClearView Trade,http://clearviewtrade.com/,"Clearviewtrade provides a SaaS-based platform for electronic documentation involved in cross-border logistics. It features a data repository which contains product descriptions, partner profiles, tariff codes and consignment records. Customers can access this data pool and create and manage consignments. It also provides invoicing functionality and integration with ERP. Partners include Taxback International, Toxkiar and Fortoldningsbutikken among others.",Undisclosed,"55,000",Time Sensitive Transport,,2014,Denmark
CustomsNow,https://www.customsnow.com/,"Customsnow provides SaaS-based solutions for trade documentation and compliance. Importer Security Filing which can be used to input data for security filings and transmit them directly to customs for compliance with CBP’s security filing requirement. Customs Now is an ACE(Automated Commercial Environment) entry software which allows customers to transmit import and export information directly to authorities. Cargo Query System is a software solution for providing proof of customs for cargo release entries filed in ACE. Other solutions include in-bond entry, reconciliation module, import trade management solution and document imaging. All solutions are ACE certified.",Undisclosed,,Paperwork simplification/reduction,,2008,USA
eFreight,http://www.efreight.cn/,eFreight offers a SaaS platform with which Crossborder eCommerce and logistics firms can get information of the product they are shipping from one country to other at Customs clearance. It focuses on integrating the data between the logistics player and the Crossborder eCommerce platform enabling faster clearance of goods. Claims to have raised Series A funding from Hina Group and Kaiwu Capital.,Series B,"2,910,000",Paperwork simplification/reduction,,2013,China
Keystroke,https://www.keystroke.io/,"Keystroke provides a software solution for invoice auditing to the logistics industry. The company offers a platform that can be integrated with existing invoicing systems to retrieve & analyze invoices. The solution digitally validates missing data, automatically detects invalid charges based on contracts, and electronically delivers the invoices via APIs.",Undisclosed,,Paperwork simplification/reduction,,2017,USA
ODex,http://www.odex.co/,"ODeX offers a online platform for shipping documentation exchange. Provides for connecting with shipping lines, CFS and banks. Features include tracking & receiving invoices, real time confirmation after invoice payments, tracking of orders and tracing of e-Form 13.",Series A,"124,000",Paperwork simplification/reduction,,2015,India
Portexcel,https://www.portexcel.com/,"PortExcel is a shipping management solution. Helps in supply chain management, freight forwarding, customs clearance, insurance and courier booking. Features include multiple shipment tracking, paperless, SMS & email reminders, courier management, freight calculator, online dashboard, and analytics.",Undisclosed,,End-to-end supply chain transparency,,2016,India
Shippabo,https://www.shippabo.com/,"Shippabo is a web-based platform aimed at small and medium-sized businesses who import and export goods. Users can compare quotes from major carriers around the world, choose the route and schedule, and book shipment online. It collects pricing data for comparison, automates documents for filing and allows users to track their shipments to arrival. Also helps users manage customs clearance.",Seed,"1,800,000",End-to-end supply chain transparency,,2014,USA
Skuchain,https://www.skuchain.com/,"Using Skuchain's product Brackets, an enterprise is able to digitize its POs, Invoices, Bills of Lading, Letters of Credit or any documentation involved in a supply chain transaction and automate execution of those instruments based off secure triggers.",Seed,,End-to-end supply chain transparency,,2014,USA
TradeLanes,https://www.tradelanes.co/,"A digital trade room that automatically generates global trade documents providing such benefits as Digital Documents, Shipment Tracking, Status Notifications, Vendor Collaboration, Online Bookings, Detailed Reporting. Their platform creates a single source of truth for every shipment - enabling seamless handoffs of all trade documents.",Seed,"850,000",End-to-end supply chain transparency,,2015,USA
TransChain,https://transchain.io/en/,"TransChain provides decentralized supply chain management solution. Features include digitization of documents, products' traceability, real-time feedback management, litigation management, inventory & pallet management, vendor & shipping management and quality control.",Undisclosed,,End-to-end supply chain transparency,,2017,France
VCC,https://www.vcargocloud.com/,"vCargo Cloud (VCC) provides software solutions for logistics and global trade management. Offers 'CamelOne' - a collaborative platform for international trade compliance and documentation. The platform connects various stakeholder and provides a platform for centralized information exchange. Additionally, the company also offers a marketplace for trading.",Undisclosed,,End-to-end supply chain transparency,,2009,Singapore
Webshipper,https://webshipper.com/rest-api/,"Webshipper is a provider of tech-enabled fulfillment services. The company provides services for order management, fulfillment, shipping, customs clearance, warehousing, pick-and-pack, and last mile deliveries (through partnered carriers). Additionally, the platform has various third-party integrations (with WMS, ERP systems & web shops like Etsy, Magento, eBay, etc) for centralized order fulfillment and managing other operations. Features include real-time inventory management, real-time tracking, printing of shipping labels, returns management, and more. Also offers a mobile app (Android/iOS) for managing picking and other warehouse operations. It has multiple plans depending on user requirement, which are available on a subscription basis. Carrier partners include DHL, UPS, FedEx, ShipX among others. Clients include Billig Fitness, AV-Cables, Naked, Airtame, Sony Music among others.",Undisclosed,,Paperwork simplification/reduction,,2014,Denmark
CargoMessenger,http://www.cargomessenger.com/product/,"CargoMessenger is a collaborative platform for cargo tracking & management. The solution offers a direct communication channel between various stakeholders, allowing them to collaborate with each other. The solution also enables users to track and manage the visual proof condition of the cargo",Undisclosed,,End-to-end supply chain transparency,,2016,Armenia
Controlant,https://controlant.com/,"Controlant offers automated cloud-based temperature monitoring solutions for food and drugs that need to be manufactured, transported and stored at a specific temperature range. The solution is based on a wireless, automatic sensor network fully developed by Controlant which provides product information to database accessible through web browser. Winner of ""Gulleggið“ – The Golden Egg, a competition held by Innovit in 2009.",Series A,"2,470,000",Time Sensitive Transport,,2007,Iceland
Enveyo,https://www.enveyo.com/,"Enveyo provides a suite of cloud-based analytical & optimization tools for logistics & shipping operations. The software enables users to streamline and automate their operations through analytics & optimization tools. Through their modeling engine that uses historical data & predictive analytics, users can receive operational insights. Furthermore, through their decisioning engine that uses historical data & user-defined rules, the company provides suggestions for choosing optimal shipping services. Additionally, the software also monitors shipments and claims refunds wherever applicable. It can also be integrated with other third-party systems including carrier software, e-commerce marketplaces, ERP software and WMS",Undisclosed,,End-to-end supply chain transparency,,2012,USA
Frugal Technologies,https://frugal.dk/,"Frugal Technologies is a provider of hardware-based propulsion accessory for maritime vessels. Offers 'Frugal Propulsion', a hardware system that enhances existing propulsion systems by supplying propeller curves that match the vessel's condition; thereby reducing the carbon footprint and increasing fuel efficiency.",Undisclosed,,Retrofitting existing vessels with green tech,,2013,Denmark
Greensteam,https://www.greensteam.com/,GreenSteam is a Denmark based company focusing on development of advanced fuel saving systems for commercial marine vessels. The company product is an on-board solution which monitors the vessel's operating conditions in real-time. The readings are obtained from multiple sensors installed on-board. The intelligent system learns from patterns of relationships between dynamically changing conditions and changes in fuel efficiency and then uses mathematical models to provide insights. The software recommends settings to optimize the trim and draft of the vessel thus minimizing propulsion resistance and improving performance,Seed,"2,000,000",Retrofitting existing vessels with green tech,,2006,Denmark
NetObjex,https://www.netobjex.com/,"Netobjex provides a cloud-based platform to host and connect IoT devices. Its IoT CMS - Content Management Solution helps in managing a fleet of beacons. It also provides campaign manager, device registry and big data management. It also provides a mobile platform which comes with functionalities like Smartbrowser, iBeacon Aware, Software Development Kit, etc. Its device platform also provides multi-protocol gateways, sensors, Fog Computing support, etc. Its solutions have been embedded in various sectors and its use cases can be seen in Data Collection and Analytics, Advertising, Asset Tracking, Consumer-Engagement, Real-Time Failure Detection, Safety, and more.",Undisclosed,,Digital twin of port,,2013,USA
See Your Box,https://seeyourbox.com/,Seeyourbox offers compact sensors packed with physical sensors and independent power supply which use mobile signals to send critical information about the health of a package. Big data infrastructure allows monitoring of a large number of packages in real time so the clients can detect and solve issues ahead before the package is finally delivered to a customer. Other use cases include real-time inventory and asset tracking. SYB devices are leased to the clients and it claims that the sensors are completely reusable and there are no charges involved if a device is damaged. It was one of the finalists of Masschallenge Switzerland 2016 less,Seed,"650,000",End-to-end supply chain transparency,,2013,England
Sensire,https://www.sensire.com/,"Sensire provides technology solutions for temperature-controlled logistics. Its products include TempNet Storage, TempNet Truck, TempNet Logger and TempNet Cloud. TempNet Storage is a temperature monitoring solution for storage spaces which consists of sensors and a web platform for monitoring. The solution can be used for facilities to maintain a temperature range of -70°C to +250°C. Tempnet Truck is a solution for long haul and distribution trucks capable of handling a temperature range of -15°C to +75°C. TempNet Logger is a compact sensor for cargo temperature monitoring which can transmit data to the cloud and suited for -15°C to +75°C range. TempNet Cloud is the web platform for monitoring, operations management, and reporting. It also provides solutions for HACCP compliance in professional kitchens, facility monitoring for clean rooms, energy management system and a solution for nuclear medicine to measure radiation exposure and contamination monitoring. As of Sep 2017, its clientele includes HUS, Fazer, Arla and Joensuu among others. less",Undisclosed,"6,600,000",Time Sensitive Transport,,2001,Finland
Vestrak,https://www.vestrak.com/,"VesTrak is a real-time vessel tracking and fleet monitoring software that provides decision support of passage plans. Platform enables users to track the vessel movement, find ports around the world and plan vessel’s voyage. Features like advanced vessel search, tracking movement history, passage plans & distance calculation between points on map, weather forecast, visual representation etc.",Undisclosed,,End-to-end supply chain transparency,,2012,USA
We4Sea,https://www.we4sea.com/,"We4Sea provides a big data fuel monitoring platform with a focus on reducing bunker costs and ship emissions. It gathers and analyzes vessel operation parameters that impact fuel efficiency to unearth insights. The firm's solutions are SaaS based and serves ship owners, equipment manufacturers, ship designers, and cargo owners.",Seed,"427,000",Retrofitting existing vessels with green tech,,2016,Netherlands
Agilys,http://www.agilys.io/,"Agilys provides a suite of software solutions for the logistics industry. Product offerings include 'Road' - a transport management solution for the trucking industry, 'Overseas' - a document management & cargo tracking solution the maritime logistics industry, 'WMS' - an inventory solution, and an account management solution. Additionally, the company also offers 'iTracking', a mobile application (iOS & Android) which also functions as a tracking device and a communication channel with drivers. The solution encompasses features such as real-time tracking, EDI & integrations, route planning, fleet management, invoicing, analytics, and more",Undisclosed,,End-to-end supply chain transparency,,2015,France
Arviem,https://arviem.com/,Arrival control is a shipment tracking App which tracks and estimates the arrival time of package. It also features alarms and notification to keep the user informed about the delivery process. All the shipment documentation are stored and can be accessed anytime,Series B,"15,000,000",End-to-end supply chain transparency,,2008,Switzerland
BlueTraker,https://bluetraker.com/,"EMA Group's BlueTraker, BlueSenz, and FuelTraker brands established the company in the field of VMS systems for fisheries and commercial vessel solutions. EMA Group develops, manufactures and markets a range of intelligent, remotely operable machine-to-machine equipment and systems. EMA Group’s solutions are applicable to a broad range of industries mainly using satellite and mobile communication technology to monitor remote locations or moving objects. Apart from many national VMS projects, EMA has also provided out-of-fishing-sector turn-key system solutions worldwide.",Undisclosed,,Automated port surveillance,,2007,Slovenia
Ceko Sensors,https://cekosensors.com/,"Ceko Sensors develops high sensitivity optical MEMS sensors for acceleration, pressure and sound sensing. It is based on optical technology known as refractive index modulation (RIM). Its products include optical MEMS accelerometers, optical microphone and plan to launch similar sensor applications. Some of the applications of the technology include structural health monitoring, production optimization on wind turbine blades, marine vessels etc.",Seed,"55,000",Retrofitting existing vessels with green tech,,2015,Denmark
Citodi,https://www.citodi.com/,"Citodi offers a cloud-based software solution for delivery management for courier companies. The company claims to provide features such as automated dispatching, delivery pickup support, route optimization, order tracking and others by using machine learning and advanced analytics. The company also incorporates fleet management for businesses. Clients include LA POSTE, Cdiscount and others.",Seed,,In-land infrastructure development,,2013,France
CTB solutions,http://www.ctbsolutions.com.my/,"CTB solutions is a software service company providing integrated GPS fleet management solutions for various industries. The key services are the CTB Fleets Data Security and CTB Fleets Assist, both offering solutions for fleet management. While Fleets Data security is a real-time tracking and reporting package, with Fleets Assist, the client gets a dedicated team helping them manage their fleet operations. Features include remote access, temperature and moisture monitoring, customized modules, timely reports etc. less",Undisclosed,,In-land infrastructure development,,2011,Malaysia
Deepsea,https://www.deepsea.ai/,"DeepSea Technologies provides integrated hardware & software solutions for AI-enabled vessel monitoring & management. Offers 'Cassandra', a solution consisting of marine-compatible hardware devices for data acquisition and its corresponding cloud-based solution. Covers aspects such as vessel & hull monitoring, real-time hull & engineer's information, fuel consumption monitoring & alerts, hull cleaning simulations, and anomalies reporting among others",Undisclosed,,In-land infrastructure development,,2017,Greece
DigiSeas,https://digiseas.com/,"DIGISEAS is a provider of IoT enabled solution for applications in the marine industry. It offers sensors for real-time monitoring of flanges, critical conduits, and other restricted access points on the ship thereby claiming to reduce the need for manual checking or likelihood of unauthorized bypassing. It detects tampering and wirelessly transmits the data to the gateway device which in turn relay it to the cloud. Additionally offers a cloud-based platform for continuous real-time remote monitoring and instant message updates in event of breaches. Also shows detailed logs of time and duration of breaches for ship management and authorities. ",Undisclosed,,End-to-end supply chain transparency,,2017,Singapore
Esquire,http://www.esquire.co.in/advisory.php,"Esquire is a software solution provider making enterprise-level software solutions for freight forwarders, ports and carrier operators. The offerings include ship management, enterprise HRMS (for the maritime industry), DMS (online document management solution for ship and shore staff), EMIS (enterprise MIS), port and terminal management solutions and other shipping solutions like cargo tracking and monitoring. The company also provides consulting and decision support services. Northeast group, AET group, Labuan Port, A.P Moller, and The Blue Tangerine group",Undisclosed,,Paperwork simplification/reduction,,2010,India
FreightPrint,https://www.freightprint.com/,FreightPrint is an online freight tracking system that enables carriers to share the real-time location of freight with shippers. Carriers can issue bill of lading through the mobile app. Platform also offers reporting tools.,Undisclosed,,Paperwork simplification/reduction,,2016,USA
Hanseaticsoft,https://hanseaticsoft.com/,"Hanseaticsoft provides cloud-based management solutions for shipping companies. Its flagship product Cloud Fleet Manager offers organization portal, operation, inspection reports, disturbance reports, fleet tracking, crewing and purchase modules for shipping companies.",Undisclosed,,End-to-end supply chain transparency,,2009,Germany
HiFleet,http://www.hifleet.com/,"Hifleet provides a tracking and monitoring solution for ships. The solution gathers location data from the ship using a tracking device or GPS/AIS. Additional features include voyage analysis, weather updates, tracking animation, route review and regional management. It also provides a mobile application and API.",Undisclosed,,Automated port surveillance,,2015,China
IMSA Global,https://imsa.global/,"International Maritime Security Associates provides software solutions to identify, quantify and manage risks. Their Automated Risk Management Solution (ARMS) is a risk management platform that provides risk intelligence data and analysis, regulatory compliance and strategic security consulting for port facilities, shipboard services, yachts and marinas. Also provides security plan development for compliance with ISPS and MTSA regulations.",Seed,"167,000",Port cybersecurity,,2013,USA
Loadtap,https://loadtap.com/,"Loadtap is a SaaS based dispatching and fleet management platform. It provides tools for load management and load dispatching along with GPS based mobile tracking. It also provides support for online documentation and attached paperworks associated with any transportation request. Companies and its drivers can check load status, document capture for electronic BOLs/PODs/receipts/other docs and upcoming schedule along with their work history.",Seed,,Paperwork simplification/reduction,,2015,USA
LogComex,http://www.logcomex.com/,"LogComex is a SaaS-based analytics solution for the logistics industry. The company offers an online platform which can be integrated with other third-party systems for providing to access necessary data. Through this data, the company offers visibility and real-time data-driven insights into shipments/cargo & its tracking based on real-time external factors. Additionally, the company also offers data-driven insights on logistics operations from information (sourced from logistics companies from multiple countries)",Seed,,End-to-end supply chain transparency,,2015,Brazil
LogiCloud,http://www.logicloud.in/,"LogiCloud is a cloud-based platform for supply chain visibility to shippers and 3PL companies. It aggregates visibility data from multiple sources such as GPS tracking providers, fleet, and transport management systems and API integrations with stakeholders. This data is processed and its visualization is provided on the platform for customers to provide end to end visibility of shipments. It also supports integration with IoT sensors for analyzing parameters like temperature variation, speed limit violation, and fuel consumption. Additional features include a cloud POD repository which aggregates POD documents from multiple systems, cash transaction tracker and E-Way Bill",Undisclosed,,End-to-end supply chain transparency,,2016,India
Maritime Data Systems,http://www.maritimedatasystems.com/,"Maritime Data Systems provides various maritime data related products for shipowners and manufacturers. The product Searoutes is a distance calculation service using historic ship voyages and provides best ship route in rough water conditions too, while measuring wind, waves, currents. The tool Engine Population provides engine tracking for owners, keeping track of docking and scrapping activities to boost after-sales business. The product Trusteddocks helps shipowners find right shipyard for maintenance projects. It also provides Tug Analytics, to help tugboat operators reduce fuel burn and utilize harbour tug fleet",Undisclosed,,Automated port surveillance,,2001,Germany
Nautical Control Solutions,https://www.fueltrax.com/,"Nautical Control Solutions (NCS) designs, engineers, and manufactures fuel management systems which reduces fuel use and provides greater fleet oversight. Their flagship product FuelTrax® offers real-time marine fuel consumption measuring, monitoring, and reporting system. Other products include BunkerTrax™ for bunker fuel management,CargoTrax™ for cargo fluid management and TankTrax™ for marine tank management.",Undisclosed,,Retrofitting existing vessels with green tech,,2006,USA
ShippingExplorer,https://www.shippingexplorer.net/en,"ShippingExplorer uses AIS data (automatic identification system) to determine positions and provide exhaustive information about ships. Based on AIS, our system builds a map of ship movements in real-time on seas and oceans and allows for locating and detailed monitoring of ships and ports.",Undisclosed,,Automated port surveillance,,2004,Ukraine
Shipsgo,https://www.shipsgo.com/,"Shipsgo is a provider of cargo tracking solutions. Offers 3 standalone products, namely, 'Shipsgo Carrier', 'Shipsgo Freight Forwarder' and 'Shipsgo Beneficial Cargo Owner'. Enables users to track and report cargo from multiple container lines and container ports. Additionally, the platform also has route finder tool, which finds multiple container lines along with transit times and company contact details of various carriers. Features include a dashboard for central visibility, reporting, analytics, customizable alerts, and more. It is available on a monthly subscription basis. Clients include Trans Auriga, Ruscon, Royal Cargo, Altron Shipping, Golden Rise and more",Undisclosed,,End-to-end supply chain transparency,,2016,Turkey
SmartNautilos,https://www.smartnautilos.com/,"SmartNautilos is a fuel management and voyage optimization solution for the maritime industry. The company leverages mathematical simulation models to offer a web-based multi-objective optimization engine. The solution estimates fuel consumption and propulsion performance (speed, route, etc) based on real-time sea conditions and other dynamic constraints (ship angles, the direction of wind, sea, amplitudes, accelerations & motion, etc). Features include carbon footprint reduction & monitoring, and more.",Undisclosed,,Retrofitting existing vessels with green tech,,2017,Italy
SparkCognition,https://www.sparkcognition.com/industry/maritime/?utm_medium=direct&utm_source=direct,"SparkCognition is a Cognitive Security Analytics company. Applying Machine Learning & AI to Cloud Security and the Internet of Things. The platform is built on patent-pending Pattern Recognition & Machine Learning techniques that enable unparalleled Cognitive capability. When exposed to security data, it finds patterns of attack, identifies vectors, models attacker behavior and much more. Because it’s Cloud-Born, SparkCognition's platform aggregates its learning at a faster pace than any human or legacy software system. It not only gains more experience, it actually increases its intelligence and capability",Series C,"175,000,000",Disaster proofing and management,,2013,USA
Stratum Five,https://stratumfive.com/,"Stratum five provides fleet tracking services and vessel monitoring services over secure wireless connections. They manufacture and market secure monitoring and tracking systems. The information is provided over secure networks. The company has partnered with communication companies Skywave, INMARSAT, Vizada, Iridium and Orbcomm.",Undisclosed,,End-to-end supply chain transparency,,2009,England
yourLTL,https://yourltl.com/,"yourLTL is a collaborative transport management solution. The company connects shippers and carrier over a single platform. Shippers can search, book and receive tracking information on the platform. The platform also enables carriers/forwarders to manage transport operations and clients. Feature include real-time visibility/tracking, dynamic pricing, dispatching, and more. It is available on a subscription basis.",Undisclosed,,Intelligent freight price discovery,,2016,USA
AKUA,https://www.akua-inc.com/,"AKUA provides secure, persistent environmental monitoring and tracking solutions for inter-modal cargo containers and protects against loss of cybercrime, theft, damage or spoilage. Platform AKUA is a secure Data as a Service (DaaS) gateway platform for the supply chain and logistics markets. Technology authenticates IoT sensors, devices, and edge data by employing tracking devices, multi-layer security, in-transit analytics, and web services based supply chain tracking and monitoring. Spunout of CyberPoint, which is the second spin-off after PivotPoint Risk Analytics in 2015. Awarded a fixed price contract by the DHS and BMD to participate in the Container Security Device Technology Demonstration",Series A,"3,000,000",End-to-end supply chain transparency,,2016,USA
Intelligence Fusion,https://www.intelligencefusion.co.uk/industries/transport-logistics,"Intelligence Fusion offers data and insights on incidents and threats. It monitors, collects, and processes all the incidents covering conflicts, terrorism, hazards, diseases, demonstrations, maritime issues, threats to aviation. The company claims to have data of more than 115000 historical incidents and collects more than 8000 incidents per month. Offers subscription-based pricing model for enterprises.",Seed,"2,080,000",Automated port surveillance,,2015,England
Rugged Tooling,https://ruggedtooling.com/,"Rugged Tooling provides tools for IP network testing and booting to the organizations. The product Rugged deviation emulator (Rude) is a tool to emulate a real network conditions by creating disturbances in the data streams for evaluating Man-in-the-middle device in a testing environment; and Rugged IP load generator (Ruge) is an IP load generator to test the system thresholds by generating enormous IP traffic loads and emulating cyber attacks. Focused to test any IP-based networks including base station fronthaul, network backhaul, IoT, IMS, and streaming services",Undisclosed,,Port cybersecurity,,2010,Finland
Secrays,https://www.secrays.com/,"Secrays provides managed cyber security and privacy services to businesses. Solutions include Risk and threat management, startup security, privacy compliance, and software development security & security testing. Its security testing is delivered employing WhiteHat Sentinel services and implements gamification of security learning for the end user. Main customers include Arek, Varma, and ILmarinen",Undisclosed,,Port cybersecurity,,2011,Finland
Earth-i,https://earthi.space/,"Earth-i provides satellite imagery and data services from the DMC3/TripleSat Constellation of three Low Earth Orbit high resolution multispectral optical satellites. The DMC3 Constellation provides capabilities, including daily global revisits, supporting unique operational applications across a range of market sectors such as defence, security & intelligence, energy and natural resources, environmental and disaster response, maritime monitoring and observation, agriculture, civil and local government, urban management/Smart cities, mapping, commercial and insurance.",Undisclosed,"3,500,000",Automated port surveillance,,2013,England
ODYN,https://odyn.ai/,"Armada has developed a connected solution to track and monitor shipments in a supply chain. The solution consists of a connected tile that is put in the shipment to be tracked and a dashboard to view real-time updates and insights, the tile connects to local wifi networks to relay location information, condition, weather, humidity, shock & vibrations etc. The solution claims to use deep learning to assess the impact of these factors on shipment delivery. The price of solution varies as per no. of shipments to be monitored/month, $10/mo for one and $500 for 100 shipments. The company has partnered with iPass, a global mobile connectivity provider to utilize their network for transmitting data",Seed,"1,320,000",End-to-end supply chain transparency,,2016,USA
Transplanning,https://www.transplanning.com/,"Transplanning provides supply-chain and logistics solutions based on artificial intelligence, smart contracts and blockchain technology. The solutions provide the digital representation of a physical asset and information of the physical asset is stored on the blockchain, which enables companies to track the performance of asset throughout its lifecycle. Offers blockchain-based IoT solutions, that provides information such as where the product was made, on what date it was first sent to a warehouse, which distributor bought it, where it was stored and for how long etc. for supply chain management. Serves shipping companies, port and terminal operators, freight forwarders, manufacturers and customs authorities.",Undisclosed,,Paperwork simplification/reduction,,2016,USA
Yado-VR,https://yadovr.com/,"YADO-VR is developing a platform to process LIDAR data resulting in dynamic 3D maps for applications such as virtual reality, augmented reality, true 3D, gaming industries. It also acts as partners for street level mapping companies to automatically process LIDAR data rapidly with patent pending classification capabilities with an accuracy of +- 5 to 10 cms. It also has a unique approach to creating small size of imagery which is important in data transfer. These solutions also find application in ADAS and autonomous driving solutions.",Seed,"100,000",Automated port infrastructure,,2016,Netherlands
Danfoss IXA,https://danfoss-ixa.com/,"Danfoss IXA manufactures marine emission sensors for measuring NO, NO2 (NOx), SO2 and NH3 in the exhaust system. It claims to enable dynamic engine control & closed feedback loops for after-treatment systems like scrubbers and SCRs, and documentation of fuel shifting. In addition, it offers ventilation systems for managing the cargo hold ventilation fans for container vessels carrying reefers below deck. Leveraging the optical sensing technology, it controls the cargo hold ventilation according to temperature and CO2 set-points (claims to offer 10-15% more energy efficient operation).",Undisclosed,"1,800,000",Automated port surveillance,,2009,Denmark
Brightree,https://www.brightree.com.sg/,"Brightree provides satellite and Internet of things (IoT) based remote fuel monitoring services for the marine industry. Services include marine bunker and fuel consumption monitoring, marine asset tracking, remote engine monitoring, and fuel tank monitoring. Features include real-time fuel consumption tracking, route monitoring and position alerts, engine performance trend analysis, and fuel volume, measurement, and dispense tracking.",Undisclosed,,Automated port surveillance,,2011,Singapore
Chinsay,https://www.chinsay.com/,Chinsay provides an online platform for contract management in freight and commodity industry. Customers can create contracts using the platform by importing information from a clause library and link existing information without the need of manually customizing contracts. It can also be used to review contracts in a faster way by comparing the base format of the contract with the actual ones. ,Series A,"4,000,000",Paperwork simplification/reduction,,2000,Sweden
Simudyne,https://www.simudyne.com/,"Simudyne, as a foundational technology, supports all the modeling formats required to build enterprise computer simulations. It was built to comply with the needs of global organizations, particularly when it comes to security, ease of integration, and scalability.",Series A,"6,000,000",Digital twin of port,,2006,England
Windward,https://wnwd.com/,"Windward is the world leader in predictive maritime analytics. We analyze global vessel behaviors and deliver actionable predictive insights, informing smart operational decisions across various domains.",Series C,"16,500,000",Data audit & standardisation,,2010,Israel
 Aeras Medical,https://www.aerasmedical.com/,"A startup that aims to address the challenge of getting medical help when the crew is at sea. In 2016, Aeras Medical won the National Vital Signs Monitoring Project and operated the end-to-end solution for remote monitoring of post-operative patients.",Undisclosed,,Disaster proofing and management,,2010,Singapore
Portcast,https://portcast.io/," It uses proprietary machine learning and external datasets, including economic, satellite, and operational data, to predict global cargo flows and help companies in dynamic pricing, and to monetise their assets more effectively.",Undisclosed,,Data audit & standardisation,,2017,Singapore
SkyLab,https://skylab.world/,"2018 Smart Port Challenge’s 1st Runners-up, is an AI-driven startup that offers deep technology software on the development of Industrial Internet of Things (IIOT), data logistics, and edge cloud computing technologies, to tackle the issues of constant changing bandwidths, packet losses and latency, network congestion and retransmission hamper the smooth flow of internet traffic through wireless networks like satellite links.",Undisclosed,,Port bottleneck optimisation,,2015,USA
Lean Marine  ,https://leanmarine.com/,Our mission is to improve ship performance and work towards better environmental solutions. Our core competency is designing and manufacturing automated fuel-saving and data analysis solutions for vessels.,,,Retrofitting existing vessels with green tech,,2012,Sweden
